"","ID","COUNTY","NAME","STNAME","POPESTIMATE2015","CTYNAME","TOT_POP","TOT_MALE","TOT_FEMALE","WHITE","HISPANIC","BLACK","ASIAN","NATIVE","OTHER","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","00..10","10..15","15..25","25..35","35..50","50..75","75..100","100..150","150..200","200..999","LESS_THAN_HS","HS_DEGREE","SOME_COLLEGE","BS_DEGREE"
"314",314,"51068","Silly","Wallonie",8475,"Silly",8475,0.497581120943953,0.502418879056047,1,0,0,0,0,0,0.0435398230088496,0.0490855457227139,0.056401179941003,0.0628908554572271,0.063598820058997,0.0446017699115044,0.0517994100294985,0.056165191740413,0.0600589970501475,0.0650147492625369,0.0743362831858407,0.079646017699115,0.0765781710914454,0.0666666666666667,0.0494395280235988,0.0466076696165192,0.0233628318584071,0.0302064896755162,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.344371968556615,0.366114734905503,0.0247533032279645,0.264759993309918
"315",315,"51069","Lessines","Wallonie",18735,"Lessines",18735,0.492607419268748,0.507392580731252,1,0,0,0,0,0,0.05161462503336,0.0507606084867894,0.0600480384307446,0.0599412863624233,0.0601014144649053,0.0549239391513211,0.0605817987723512,0.0641046170269549,0.0617026954897251,0.0659727782225781,0.070242860955431,0.0731251668001068,0.0730717907659461,0.0606351748065119,0.048145182812917,0.0382172404590339,0.0206031491860155,0.026207632772885,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.440898178223415,0.371840135574071,0.0285976556983477,0.158664030504166
"316",316,"52010","Chapelle-lez-Herlaimont","Wallonie",14839,"Chapelle-lez-Herlaimont",14839,0.482714468629962,0.517285531370038,1,0,0,0,0,0,0.0472403800795202,0.0534402587775457,0.0578206078576724,0.0580227778152167,0.0554619583529887,0.0581575577869129,0.0712312150414448,0.0689399555226093,0.0625379068670396,0.0615944470651661,0.0679291057348878,0.0709616550980524,0.0642226565132421,0.0591684075746344,0.0522272390322798,0.0421861311409125,0.020284385740279,0.0285733539995957,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.484029053994924,0.343397217117354,0.0203027916338497,0.152270937253872
"317",317,"52011","Charleroi","Wallonie",204322,"Charleroi",204322,0.490529654173315,0.509470345826685,1,0,0,0,0,0,0.0575904699444994,0.0622546764420865,0.0643200438523507,0.0630964849600141,0.0633754563874668,0.0632433120270945,0.0662483726666732,0.0647996789381467,0.0628321962392694,0.0624895997494151,0.0668063155215787,0.0624112919803056,0.060199097502961,0.0539834183298911,0.0449927075890017,0.0363984299292294,0.0211235207172992,0.0238349272227171,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.539747829126005,0.314084469177622,0.02019652122483,0.125971180471543
"318",318,"52012","Châtelet","Wallonie",35595,"Châtelet",35595,0.481275460036522,0.518724539963478,1,0,0,0,0,0,0.052732125298497,0.0556819778058716,0.0601769911504425,0.0635482511588706,0.0597274898159854,0.0598679589830032,0.0608512431521281,0.0630425621576064,0.0606545863183031,0.0619469026548673,0.0706840848433769,0.0664138221660346,0.0638853771597134,0.0584070796460177,0.0523107177974435,0.040117994100295,0.0241606967270684,0.0257901390644753,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.525705903923726,0.332673267326733,0.0240557389072241,0.117565089842318
"319",319,"52015","Courcelles","Wallonie",31337,"Courcelles",31337,0.485113444171427,0.514886555828573,1,0,0,0,0,0,0.0531639914478093,0.0551743944857517,0.0632479177968536,0.0603120911382711,0.0596738679516227,0.0612056035995788,0.0695025050260076,0.0673006350320707,0.0621948495388837,0.0628649838848645,0.0681941474933784,0.0662794779334333,0.0623544053355458,0.0567061301337078,0.0484411398666114,0.0401123272808501,0.0210294540000638,0.0222420780546957,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.486953922364094,0.342528931972499,0.0196438484861425,0.150873297177264
"320",320,"52018","Farciennes","Wallonie",11394,"Farciennes",11394,0.485430928558891,0.514569071441109,1,0,0,0,0,0,0.0565209759522556,0.0678427242408285,0.0758293838862559,0.0677549587502194,0.0611725469545375,0.0600315955766193,0.0618746708794102,0.0717921713182377,0.0687203791469194,0.058802878708092,0.059768299104792,0.0591539406705284,0.0606459540108829,0.0566087414428647,0.0454625241355099,0.0327365279971915,0.0186062840091276,0.0166754432157276,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.565138502479739,0.318011370509254,0.0211685012701101,0.0956816257408975
"321",321,"52021","Fleurus","Wallonie",22915,"Fleurus",22915,0.48356971416103,0.51643028583897,1,0,0,0,0,0,0.0491817586733581,0.0550294566877591,0.0593497708924285,0.0607025965524765,0.0575605498581715,0.0553785729871263,0.0632336897228889,0.0664630154920358,0.0610953523892647,0.0642373990835697,0.0688195505127646,0.066375736417194,0.0726598298058041,0.0630591315732053,0.0488762819114117,0.04106480471307,0.0232598734453415,0.0236526292821296,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.476107530627649,0.342565174475991,0.0250246763049411,0.156302618591418
"322",322,"52022","Fontaine-l’Evêque","Wallonie",18122,"Fontaine-l’Evêque",18122,0.483445535812824,0.516554464187176,1,0,0,0,0,0,0.0505462973181768,0.0542986425339367,0.0593753448846706,0.061582606776294,0.0594857079792517,0.0585476216753118,0.067983666262002,0.0628517823639775,0.0626862377221057,0.0642313210462421,0.0698598388698819,0.0679284847147114,0.0661626752014126,0.0586028032226024,0.0501600264871427,0.0402273479748372,0.0213000772541662,0.0241695177132767,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.475349791224086,0.346274998168632,0.0200717896124826,0.158303420994799
"323",323,"52025","Gerpinnes","Wallonie",12863,"Gerpinnes",12863,0.481225219622172,0.518774780377828,1,0,0,0,0,0,0.0373940760320299,0.043535722615253,0.0541864261836275,0.0521651247764907,0.054886107439944,0.0482780066858431,0.0534867449273109,0.0573738630179585,0.0587732255305916,0.0579180595506492,0.0744771826168079,0.0706678068879733,0.0721449117624193,0.0718339423151675,0.0665474617118868,0.0584622560833398,0.0326517919614398,0.0352172899012672,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.357883597883598,0.34962962962963,0.0248677248677249,0.267619047619048
